Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Headquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring
Iwana Cash,https://www.crunchbase.com/organization/iwana-cash,"Advertising, Affiliate Marketing, Digital Media, E-Commerce, Internet, Shopping","Santiago, Region Metropolitana, Chile",Iwana Cash is a cashback site that gives users their money back for their daily purchases in affiliated brands.,"87,835",2,800000,USD,800000,1250000,USD,1250000,Latin America,,,Active,2020-02-01,day,,,,,For Profit,https://www.iwanacash.com/,,https://www.facebook.com/Iwanacash/,https://www.linkedin.com/company/iwanacash/,meni@iwanacash.com,+56982938097,,,"Iwana Cash is a cashback site that gives users their money back for their daily purchases in affiliated brands. They do this by sharing the advertising investment of the brands with their users. Iwana Cash is headquartered in Santiago, Chile and was founded in 2020.",
Gonnado,https://www.crunchbase.com/organization/gonnado,"Affiliate Marketing, Coupons, Lead Generation, Retail Technology","Bern, Bern, Switzerland",Gonnado is a marketing platform for bricks and mortar retailers to track offline conversions and generate more leads.,"107,386",5,1200000,CHF,1222282,2630000,CHF,2813207,,,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://gonnado.com,http://twitter.com/gonnado,https://www.facebook.com/gonnado,https://www.linkedin.com/company/gonnado,info@gonnado.com,+41315087120,80,,"With Gonnado’s omnichannel platform, retailers can generate leads and measurably convert them into sales, both in the online store and in retail stores.",
SENSU,https://www.crunchbase.com/organization/sensu,"Affiliate Marketing, Cloud Data Services, Social Media, Software","Tokyo, Tokyo, Japan",Sensu is a cloud platform for content management.,"111,073",5,900000,USD,900000,3430000,USD,3430000,Asia-Pacific (APAC),,,Closed,2014-01-01,year,,,,none,For Profit,https://www.sensu.one,,,,,,,,"Sensu is a cloud based content management platform. Founded in 2014, Sensu is headquartered in Tokyo, Japan.",
ES Xplore,https://www.crunchbase.com/organization/es-xplore,"Affiliate Marketing, Energy, Enterprise, Oil and Gas, Renewable Energy","Dallas, Texas, United States","A Dallas, TX-based developer of a proprietary method .","119,961",1,12000000,USD,12000000,12000000,USD,12000000,"Dallas/Fort Worth Metroplex, Southern US",,Less than $1M,Closed,2016-01-01,year,,,2020-01-01,year,For Profit,http://esxplore.com/,,,https://www.linkedin.com/company/es-xplore-l.l.c.,jwhite@esxplore.com,(214)295-5111,,,"ES Xplore’s electroseismic technology directly detects producible hydrocarbons at seismic resolution. No other technology does this. Conversion between electromagnetic and seismic energies is the key mechanism underlying ES Xplore’s technology. Energy conversion is enhanced by the presence of electrically resistive hydrocarbons and permeability in reservoir rock. Such conversions have been studied in the laboratory and the field for decades. ES Xplore began as a start-up venture within Hunt Energy Enterprises, an affiliate of Hunt Consolidated.",
Conversant,https://www.crunchbase.com/organization/valueclick,"Advertising, Affiliate Marketing, Brand Marketing, Digital Media, Marketing, Web Hosting","Westlake Village, California, United States",Conversant is an online marketing company providing internet advertising solutions for web site publishers and advertisers.,"153,386",1,45000000,USD,45000000,45000000,USD,45000000,"Greater Los Angeles Area, West Coast, Western US",,$1B to $10B,Closed,1998-01-01,year,2000-01-01,day,2020-01-01,year,For Profit,http://www.valueclickmedia.com,http://twitter.com/conversant,http://www.facebook.com/conversantinc,https://www.linkedin.com/company/2450433/,,1(818)575-4501,313,,ValueClick is an integrated online marketing companies. They deliver scalable solutions for advertisers to cost-effectively acquire customers and for publishers to maximize their revenue.,
Tapvalue,https://www.crunchbase.com/organization/tapvalue,"Advertising, Affiliate Marketing","Paris, Ile-de-France, France","Tapvalue is a French start up, incorporated in July 2012 by Frederic Valette. Founder of one of the leading affiliate platforms in 2000,","157,000",1,1600000,EUR,2200401,1600000,EUR,2200402,European Union (EU),,$1M to $10M,Closed,2012-01-01,year,,,2016-01-01,year,For Profit,http://tapvalue.com,http://twitter.com/tapvalue,http://www.facebook.com/pages/Tapvalue/302415103257235,http://www.linkedin.com/company/2884051,,33 4 42 20 18 05,,,"Tapvalue is a French start up, incorporated in July 2012 by Frederic Valette. Founder of one of the leading affiliate platforms in 2000, the company was sold to United Internet Group in 2006. After spending 5 years dedicated to algorithm trading, Frédéric decides to embrace the 3rd revolution in digital advertising: multiple screen targeting. tapvalue strong of its team of researchers, engineers and advertising experts which all together accumulate over a century of experience on targeting, retargeting and big data; has developed a unique and unmatched technology in Europe: Profilematch.",
Mike Interconnection,https://www.crunchbase.com/organization/mike-interconnection,"Affiliate Marketing, Catering, Internet","Foochow, Fujian, China",Mike Interconnection engages in the R&D of smart catering products.,"162,104",1,10000000,CNY,1497993,10000000,CNY,1497994,Asia-Pacific (APAC),,,Active,2015-05-20,day,,,,,For Profit,https://www.mikeo2o.com/,,,https://www.linkedin.com/company/%E7%A6%8F%E5%BB%BA%E7%B1%B3%E5%AE%A2%E4%BA%92%E8%81%94%E7%BD%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,,400-805-1780,,,,
MediaTrust,https://www.crunchbase.com/organization/mediatrust,"Ad Network, Advertising, Affiliate Marketing, Compliance, Cyber Security, Email Marketing, Privacy, Semantic Search, SEO, Social Media Advertising","New York, New York, United States","MediaTrust offers PerformanceExchange, a CPC bidding and customer delivery system that connects advertisers with customers in real time.","162,948",2,3000000,USD,3000000,21000000,USD,21000000,"Greater New York Area, East Coast, Northeastern US",,Less than $1M,Active,2004-04-10,day,,,,,For Profit,http://www.mediatrust.com,http://twitter.com/mediatrust,https://www.facebook.com/TheMediaTrust/,http://www.linkedin.com/companies/59689/MediaTrust,sales@mediatrust.com,703-893-0325,36,,"MediaTrust makes online direct response advertising effective & efficient for advertisers, agencies, affiliate marketers and publishers by connecting quality clicks to conversions with the innovative PerformanceExchange real-time cpc bid exchange for performance marketing. MediaTrust's PerformanceExchange connects advertisers with customers in real-time via our proprietary CPC bidding and customer delivery system.  Advertisers  * Expand your reach... beyond search to high quality email & content  * Target your audience... where, when & how you want  * Connect clicks to performance... winning bids deliver quality consumers  * Analyze & optimize... campaigns & bids for optimal conversion ROI  Publishers  * Monetize your traffic... xml, text link, search, display to email & content channels  * Deliver relevant ads... variety of targeted & unique campaigns  * High consistent CPC payouts... have confidence that your quality clicks always hold value & maximize inventory yield  * Tools & Analytics... optimize your traffic quality ROI  The company was recently named the 9th fastest growing US company in 2009 & 2010 by Inc. 500 & #1 Performance Marketing Network by Revenue Performance Magazine",
Courseload,https://www.crunchbase.com/organization/courseload,"Affiliate Marketing, Enterprise Software, Software","Indianapolis, Indiana, United States",Courseload introduces new tools and features to reduce the cost of education and improve learning outcomes.,"365,795",1,1640000,USD,1640000,1640000,USD,1640000,"Great Lakes, Midwestern US",,Less than $1M,Active,2009-03-01,day,,,,,For Profit,http://www.courseload.com,http://twitter.com/courseload,http://www.facebook.com/Courseload,http://www.linkedin.com/company/courseload-inc,,(317) 257-0570,3,,"Courseload, Inc. is an innovative early stage educational software company. Our SaaS offering reduces the cost of most commercially available textbooks and proprietary content by up to 2/3 and provides electronic access to self-generated, open source and fair use educational materials, saving students thousands of dollars over their four year undergraduate careers, while improving both revenue and margin for textbook publishers. Additionally, the Courseload solution offers collaborative teaching and learning capabilities to students and professors that improve learning outcomes as proven by National Science Foundation-sponsored research at a major university. The Courseload solution strongly resonates with those working to make the total cost of college more affordable while enhancing educational results, yielding millions of dollars in aggregate savings to the students of schools each year. Courseload continues its expansion in the higher education and K12 spaces, working with multiple Big Ten schools, private liberal arts and technology universities, community and technical colleges, and the premier K12 school in the State of Indiana. Expansion to other universities, colleges and schools continues",
BATNET1,https://www.crunchbase.com/organization/batnet1,"Affiliate Marketing, Internet, Marketing","Iselin, New Jersey, United States",BATNET1 is the leading Internet Affinity Marketing company.,"1,003,546",1,12000000,USD,12000000,12000000,USD,12000000,"Greater New York Area, East Coast, Northeastern US",,,Active,1995-01-01,year,,,,,For Profit,http://www.batnet1.com/,,,,,1(855)201-2286,,,"BATNET1 is the leading Internet Affinity Marketing company.  BATNET1 partners with well-known membership groups and leading Internet merchants to create customized, private-label online marketplaces featuring special offers that are tailored for group members.",
